,mon,cust_no,sex,age_flg,state,mem_tf_flg,batch_pass_dt,last_sell_dt,last_pass_dt,pack_flg,sell_amt,sell_cnt,sell_qty,basket_size,beauty_amt,beauty_cnt,beauty_qty,personal_amt,personal_cnt,personal_qty,health_amt,health_cnt,health_qty,living_amt,living_cnt,living_qty,etc1_amt,etc1_cnt,etc1_qty,b_wellnature_amt,b_wellnature_cnt,b_wellnature_qty,b_esroom_amt,b_esroom_cnt,b_esroom_qty,b_arrenbio_amt,b_arrenbio_cnt,b_arrenbio_qty,p_wellmate_amt,p_wellmate_cnt,p_wellmate_qty,p_wellmoplus_amt,p_wellmoplus_cnt,p_wellmoplus_qty,h_wellseed_amt,h_wellseed_cnt,h_wellseed_qty,h_health_amt,h_health_cnt,h_health_qty,h_litefit_amt,h_litefit_cnt,h_litefit_qty,h_wellmoplus_amt,h_wellmoplus_cnt,h_wellmoplus_qty,l_livingmate_amt,l_livingmate_cnt,l_livingmate_qty,l_tissue_amt,l_tissue_cnt,l_tissue_qty,l_dtc_amt,l_dtc_cnt,l_dtc_qty,l_spad_amt,l_spad_cnt,l_spad_qty,e_cprod_amt,e_cprod_cnt,e_cprod_qty,sell_class_1,sell_class_2,main_class_1,main_class_2,main_day,sell_cycle,r_score,f_score,m_score,rfm_score,rfm_grade,cust_grade,target_value
4299,202104,k90502  ,1,40대,경남,N,7.0,20210427,4.0,,830000.0,7,19.0,118571.42857142857,,,,30000.0,1.0,6.0,800000.0,7.0,13.0,,,,,,,,,,,,,,,,30000.0,1.0,6.0,,,,800000.0,7.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,03,0301,1,27.5,100,100,70,88.79040017426004,2,1,0
4300,202104,k90504  ,2,50대,경북,Y,3.0,20210420,11.0,,823900.0,7,25.0,117700.0,80000.0,1.0,1.0,33000.0,2.0,2.0,493000.0,6.0,12.0,217900.0,5.0,10.0,,,,,,,80000.0,1.0,1.0,,,,33000.0,2.0,2.0,,,,373000.0,6.0,11.0,120000.0,1.0,1.0,,,,,,,122400.0,3.0,3.0,95500.0,4.0,7.0,,,,,,,,,,4,6.0,03,0301,1,28.0,90,100,70,85.72618882313394,2,1,0
4301,202104,k90588  ,2,50대,서울,N,1.0,20210420,11.0,,869800.0,7,44.0,124257.14285714286,150000.0,3.0,6.0,60000.0,3.0,4.0,339000.0,5.0,11.0,320800.0,7.0,23.0,,,,150000.0,3.0,6.0,,,,,,,60000.0,3.0,4.0,,,,339000.0,5.0,11.0,,,,,,,,,,119700.0,3.0,7.0,99500.0,4.0,12.0,,,,,,,,,,4,5.0,04,0301,1,28.0,90,100,80,89.62809493114327,2,1,0
4302,202104,k90699  ,1,30대,인천,N,0.0,20210413,18.0,,942000.0,6,31.0,157000.0,0.0,1.0,1.0,,,,942000.0,6.0,30.0,,,,,,,,,,,,,0.0,1.0,1.0,,,,,,,942000.0,6.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,03,0301,1,28.0,80,90,80,83.20335292207615,2,1,0
4303,202104,k90749  ,1,30대,서울,N,6.0,20210413,18.0,,765000.0,7,23.0,109285.71428571429,,,,,,,765000.0,7.0,23.0,,,,,,,,,,,,,,,,,,,,,,520000.0,7.0,16.0,,,,245000.0,7.0,7.0,,,,,,,,,,,,,,,,,,,1,2.0,03,0301,1,27.166666666666668,80,100,70,82.42570599617112,2,1,1
4304,202104,k90844  ,1,60대,경북,N,1.0,20210413,18.0,,915800.0,9,39.0,101755.55555555556,193000.0,3.0,7.0,135000.0,3.0,7.0,550000.0,6.0,18.0,28800.0,1.0,1.0,9000.0,1.0,6.0,,,,193000.0,3.0,7.0,,,,70000.0,3.0,5.0,65000.0,1.0,2.0,550000.0,6.0,18.0,,,,,,,,,,28800.0,1.0,1.0,,,,,,,,,,,,,5,5.0,03,0301,1,17.5,80,100,80,86.17738760127533,2,1,0
4305,202104,k90937  ,1,40대,부산,N,0.0,20210421,10.0,,916650.0,5,63.0,183330.0,270000.0,2.0,6.0,400000.0,2.0,25.0,148000.0,1.0,3.0,85300.0,1.0,7.0,13350.0,2.0,22.0,,,,270000.0,1.0,5.0,0.0,1.0,1.0,400000.0,2.0,25.0,,,,148000.0,1.0,3.0,,,,,,,,,,,,,,,,,,,29100.0,1.0,3.0,6850.0,1.0,2.0,5,6.0,02,0201,1,32.0,90,80,80,83.20335292207615,2,1,1
4306,202104,l91007  ,1,40대,경북,N,0.0,20210420,11.0,,729400.0,7,28.0,104200.0,250000.0,6.0,9.0,218000.0,5.0,11.0,202000.0,3.0,5.0,59400.0,2.0,3.0,,,,100000.0,5.0,5.0,150000.0,4.0,4.0,,,,98000.0,4.0,8.0,120000.0,3.0,3.0,202000.0,3.0,5.0,,,,,,,,,,50400.0,1.0,1.0,9000.0,1.0,2.0,,,,,,,,,,4,7.0,01,0101,1,28.0,90,100,70,85.72618882313394,2,1,0
4307,202104,l91038  ,1,50대,경북,N,5.0,20210420,11.0,,859200.0,7,37.0,122742.85714285714,40000.0,1.0,1.0,268000.0,5.0,15.0,256000.0,3.0,5.0,295200.0,7.0,16.0,,,,,,,40000.0,1.0,1.0,,,,228000.0,5.0,14.0,40000.0,1.0,1.0,136000.0,2.0,4.0,120000.0,1.0,1.0,,,,,,,144000.0,2.0,3.0,129000.0,5.0,10.0,,,,15400.0,2.0,2.0,,,,4,8.0,04,0201,1,28.0,90,100,80,89.62809493114327,2,1,0
4308,202104,l91071  ,2,50대,서울,N,122.0,20210420,11.0,,811400.0,8,38.0,101425.0,297500.0,5.0,10.0,101000.0,5.0,13.0,283000.0,4.0,9.0,129900.0,3.0,6.0,,,,63000.0,1.0,3.0,217000.0,4.0,6.0,17500.0,1.0,1.0,101000.0,5.0,13.0,,,,248000.0,4.0,8.0,,,,35000.0,1.0,1.0,,,,86400.0,2.0,2.0,43500.0,3.0,4.0,,,,,,,,,,4,8.0,01,0201,1,24.0,90,100,70,85.72618882313394,2,1,0
